zona_id,I03,nombre_cne,tipo_cne
56-013,56,Conocoto,RURAL
56-014,56,Conocoto,RURAL
56-015,56,Conocoto,RURAL
56-016,56,Conocoto,RURAL
56-017,56,Conocoto,RURAL
56-018,56,Conocoto,RURAL
56-019,56,Conocoto,RURAL
56-020,56,Conocoto,RURAL
56-021,56,Conocoto,RURAL
56-022,56,Conocoto,RURAL
56-023,56,Conocoto,RURAL
56-024,56,Conocoto,RURAL
56-025,56,Conocoto,RURAL
56-026,56,Conocoto,RURAL
56-027,56,Conocoto,RURAL
56-028,56,Conocoto,RURAL
56-029,56,Conocoto,RURAL
56-030,56,Conocoto,RURAL
56-031,56,Conocoto,RURAL
56-999,56,Conocoto,RURAL
57-001,57,Cumbaya,RURAL
57-002,57,Cumbaya,RURAL
57-003,57,Cumbaya,RURAL
57-004,57,Cumbaya,RURAL
57-005,57,Cumbaya,RURAL
57-006,57,Cumbaya,RURAL
57-007,57,Cumbaya,RURAL
57-008,57,Cumbaya,RURAL
57-009,57,Cumbaya,RURAL
57-010,57,Cumbaya,RURAL
57-011,57,Cumbaya,RURAL
57-012,57,Cumbaya,RURAL
57-999,57,Cumbaya,RURAL
58-001,58,Chavezpamba,RURAL
58-999,58,Chavezpamba,RURAL
59-001,59,Checa,RURAL
59-002,59,Checa,RURAL
59-999,59,Checa,RURAL
60-001,60,Quinche,RURAL
60-002,60,Quinche,RURAL
60-003,60,Quinche,RURAL
60-907,60,Quinche,RURAL
60-916,60,Quinche,RURAL
60-924,60,Quinche,RURAL
60-999,60,Quinche,RURAL
61-001,61,Gualea,RURAL
61-999,61,Gualea,RURAL
62-001,62,Guangopolo,RURAL
62-999,62,Guangopolo,RURAL
63-001,63,Guayllabamba,RURAL
63-002,63,Guayllabamba,RURAL
63-003,63,Guayllabamba,RURAL
63-004,63,Guayllabamba,RURAL
63-902,63,Guayllabamba,RURAL
63-905,63,Guayllabamba,RURAL
63-916,63,Guayllabamba,RURAL
63-923,63,Guayllabamba,RURAL
63-937,63,Guayllabamba,RURAL
63-999,63,Guayllabamba,RURAL
64-001,64,La Merced,RURAL
64-923,64,La Merced,RURAL
64-928,64,La Merced,RURAL
64-999,64,La Merced,RURAL
65-001,65,Llano Chico,RURAL
65-002,65,Llano Chico,RURAL
65-003,65,Llano Chico,RURAL
65-004,65,Llano Chico,RURAL
65-999,65,Llano Chico,RURAL
66-001,66,Lloa,RURAL
66-999,66,Lloa,RURAL
68-001,68,Nanegal,RURAL
68-999,68,Nanegal,RURAL
69-001,69,Nanegalito,RURAL
69-999,69,Nanegalito,RURAL
70-001,70,Nayon,RURAL
70-002,70,Nayon,RURAL
70-908,70,Nayon,RURAL
70-910,70,Nayon,RURAL
70-912,70,Nayon,RURAL
70-918,70,Nayon,RURAL
70-999,70,Nayon,RURAL
71-001,71,Nono,RURAL
71-908,71,Nono,RURAL
71-999,71,Nono,RURAL
72-001,72,Pacto,RURAL
72-906,72,Pacto,RURAL
72-999,72,Pacto,RURAL
74-001,74,Perucho,RURAL
74-999,74,Perucho,RURAL
75-001,75,Pifo,RURAL
75-002,75,Pifo,RURAL
75-003,75,Pifo,RURAL
75-937,75,Pifo,RURAL
75-999,75,Pifo,RURAL
76-001,76,Pintag,RURAL
76-950,76,Pintag,RURAL
76-975,76,Pintag,RURAL
76-999,76,Pintag,RURAL
77-001,77,Pomasqui,RURAL
77-002,77,Pomasqui,RURAL
77-003,77,Pomasqui,RURAL
77-004,77,Pomasqui,RURAL
77-005,77,Pomasqui,RURAL
77-006,77,Pomasqui,RURAL
77-007,77,Pomasqui,RURAL
77-905,77,Pomasqui,RURAL
77-906,77,Pomasqui,RURAL
77-999,77,Pomasqui,RURAL
78-001,78,Puellaro,RURAL
78-906,78,Puellaro,RURAL
78-914,78,Puellaro,RURAL
78-999,78,Puellaro,RURAL
79-001,79,Puembo,RURAL
79-999,79,Puembo,RURAL
80-001,80,San Antonio,RURAL
80-002,80,San Antonio,RURAL
80-003,80,San Antonio,RURAL
80-004,80,San Antonio,RURAL
80-005,80,San Antonio,RURAL
80-006,80,San Antonio,RURAL
80-007,80,San Antonio,RURAL
80-008,80,San Antonio,RURAL
80-009,80,San Antonio,RURAL
80-010,80,San Antonio,RURAL
80-910,80,San Antonio,RURAL
80-912,80,San Antonio,RURAL
80-999,80,San Antonio,RURAL
81-001,81,San Jose De Minas,RURAL
81-999,81,San Jose De Minas,RURAL
83-001,83,Tababela,RURAL
83-999,83,Tababela,RURAL
84-001,84,Tumbaco,RURAL
84-002,84,Tumbaco,RURAL
84-003,84,Tumbaco,RURAL
84-004,84,Tumbaco,RURAL
84-005,84,Tumbaco,RURAL
84-006,84,Tumbaco,RURAL
84-007,84,Tumbaco,RURAL
84-008,84,Tumbaco,RURAL
84-009,84,Tumbaco,RURAL
84-010,84,Tumbaco,RURAL
84-011,84,Tumbaco,RURAL
